iter	RMSE
337	7.497138777
338	7.495424843
339	7.488716285
340	7.487759206
341	7.479706165
342	7.46598167
343	7.457583662
344	7.454918735
345	7.452822441
346	7.447250495
347	7.44439344
348	7.442278598
349	7.42850412
350	7.419727327
351	7.414717858
352	7.404780575
353	7.3977539
354	7.396730055
355	7.386902016
356	7.38550133
357	7.377929532
358	7.374319942
359	7.372326518
360	7.370518124
361	7.369565188
362	7.35634521
363	7.355131575
364	7.35074208
365	7.344564826
366	7.343383015
367	7.342547369
368	7.335292269
369	7.325452669
370	7.323998008
371	7.317519332
372	7.314488406
373	7.312148289
374	7.305245905
375	7.298815496
376	7.295184664
377	7.283132701
378	7.279333994
379	7.277852412
380	7.268362838
381	7.261571763
382	7.254608231
383	7.253048907
384	7.245299817
385	7.243015472
386	7.241783831
387	7.237282244
388	7.235847997
389	7.227107692
390	7.223380574
391	7.222732806
392	7.215955439
393	7.2116393
394	7.204092236
395	7.19588173
396	7.194179731
397	7.18319774
398	7.174275189
399	7.17079762
400	7.169471967
401	7.1644404
402	7.158226578
403	7.153429893
404	7.151412957
405	7.145388356
406	7.142062462
407	7.138271329
408	7.135524864
409	7.131609047
410	7.126645922
411	7.123157646
412	7.121812667
413	7.120398513
414	7.114152487
415	7.109693879
416	7.1030646
417	7.098956325
418	7.091638245
419	7.08133179
420	7.080731553
421	7.074677896
422	7.069418823
423	7.067358064
424	7.062611952
425	7.060198684
426	7.05745019
427	7.053472557
428	7.049371538
429	7.043115605
430	7.040847388
431	7.039173684
432	7.031212154
433	7.028409209
434	7.024144308
435	7.020683128
436	7.013863725
437	7.01105643
438	7.009469587
439	7.003351283
440	7.001516982
441	6.999162022
442	6.988726429
443	6.987297158
444	6.974267519
445	6.971423451
446	6.969961462
447	6.968581084
448	6.963595221
449	6.960984539
450	6.958858026
451	6.958073574
452	6.956662803
453	6.9535461
454	6.947032743
455	6.942420694
456	6.936087519
457	6.93281589
458	6.926803366
459	6.925490716
460	6.924657139
461	6.920368127
462	6.918861332
463	6.916714437
464	6.914463979
465	6.910135402
466	6.906703823
467	6.896525871
468	6.89481715
469	6.886598998
470	6.885256913
471	6.882238613
472	6.873535514
473	6.863501609
474	6.857798908
475	6.856498694
476	6.850380558
477	6.845933065
478	6.843303475
479	6.838720604
480	6.836155821
481	6.833972969
482	6.828052091
483	6.824216923
484	6.821700417
485	6.818773203
486	6.810033469
487	6.801933928
488	6.797026751
489	6.792764036
490	6.791372004
491	6.786406082
492	6.778911811
493	6.776516881
494	6.772537781
495	6.7690944
496	6.768434746
497	6.759935382
498	6.757720706
499	6.746930965
